Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,country_url
91,+22,"Chuyin - AMANECIDO Y REGAÃADO (w/ Jorsshh, Calle 24)",109.0,18.0,,255153.0,30449.0,1777895.0,-2331.0,31393619.0,https://kworb.net/spotify/country/mx_daily.html
92,-8,Junior H - Extssy Model,1386.0,18.0,,254832.0,3127.0,1819250.0,-810.0,534618825.0,https://kworb.net/spotify/country/mx_daily.html
93,+1,Hombres G - DevuÃ©lveme a mi chica,2458.0,61.0,,253826.0,9551.0,1724884.0,47010.0,286272711.0,https://kworb.net/spotify/country/mx_daily.html
94,-11,Neton Vega - Todo a Su Tiempo,592.0,21.0,,253545.0,1278.0,1837615.0,-36624.0,230870298.0,https://kworb.net/spotify/country/mx_daily.html
95,+3,Belanova - Rosa Pastel,1289.0,19.0,,252920.0,15173.0,1771656.0,1631.0,410107959.0,https://kworb.net/spotify/country/mx_daily.html
96,-11,Eden MuÃ±oz - Como En Los Viejos Tiempos,298.0,52.0,,252872.0,1939.0,1806606.0,5133.0,78871624.0,https://kworb.net/spotify/country/mx_daily.html
97,-1,Junior H - TRES BOTELLAS,992.0,21.0,,250260.0,10319.0,1786399.0,1323.0,331668863.0,https://kworb.net/spotify/country/mx_daily.html
98,+1,La Oreja de Van Gogh - Rosas,1230.0,28.0,,250246.0,13330.0,1713936.0,26504.0,232017612.0,https://kworb.net/spotify/country/mx_daily.html
99,+2,La Factoria - PerdÃ³name (w/ Eddy Lover),289.0,89.0,,249477.0,14705.0,1760117.0,7004.0,65779248.0,https://kworb.net/spotify/country/mx_daily.html
100,-7,El De Las R's - La Cheyenne,28.0,93.0,,247860.0,2785.0,1733259.0,14501.0,6603393.0,https://kworb.net/spotify/country/mx_daily.html
101,-1,JÃ³sean Log - Beso,388.0,46.0,,246090.0,10957.0,1695309.0,-24670.0,86181974.0,https://kworb.net/spotify/country/mx_daily.html
102,+6,Quevedo - Columbia,325.0,14.0,,245683.0,18394.0,1682457.0,-20103.0,123050935.0,https://kworb.net/spotify/country/mx_daily.html
103,+8,Rauw Alejandro - QuÃ© PasarÃ­a... (w/ Bad Bunny),597.0,7.0,,243191.0,17439.0,1702620.0,-26581.0,271377172.0,https://kworb.net/spotify/country/mx_daily.html
104,-13,"La Adictiva - DespuÃ©s de Ti, Â¿QuiÃ©n?",1183.0,13.0,,242776.0,-3478.0,1887310.0,-9739.0,187257741.0,https://kworb.net/spotify/country/mx_daily.html
105,+1,"Los Del Roble - El Peor De Mis Fracasos (En Vivo) (w/ Gabito Ballesteros, El Gerry Oficial)",8.0,95.0,,238922.0,8689.0,1592823.0,28961.0,1802784.0,https://kworb.net/spotify/country/mx_daily.html
106,+19,La Santa Grifa - Sabanas Blancas,382.0,83.0,,238776.0,22728.0,1546195.0,17541.0,95640732.0,https://kworb.net/spotify/country/mx_daily.html
107,+25,Junior H - COLOGNE (w/ Ovi),481.0,8.0,,235652.0,21270.0,1586666.0,33978.0,143386560.0,https://kworb.net/spotify/country/mx_daily.html
108,-5,Calle 24 - NO PIERDO LA VIDA (w/ Chuyin),270.0,29.0,,235335.0,2192.0,1691415.0,235335.0,78128719.0,https://kworb.net/spotify/country/mx_daily.html
109,+26,Tito Double P - GUERITA Y MORENA,18.0,109.0,,235037.0,22563.0,1640171.0,27514.0,3890107.0,https://kworb.net/spotify/country/mx_daily.html
110,+17,Luis R Conriquez - Que Gacho (w/ Neton Vega),45.0,58.0,,233599.0,17871.0,1688402.0,-399.0,10822407.0,https://kworb.net/spotify/country/mx_daily.html
111,+10,BeatBoy - Pase y Toque (w/ Victor Mendivil),229.0,6.0,,233522.0,14293.0,1654700.0,-484.0,127415945.0,https://kworb.net/spotify/country/mx_daily.html
112,+10,LAGOS - MÃ³naco (w/ Danny Ocean),1721.0,11.0,,233325.0,15847.0,1574396.0,-21691.0,460815559.0,https://kworb.net/spotify/country/mx_daily.html
113,+1,Caifanes - Viento,643.0,59.0,,233083.0,8797.0,1646823.0,-17827.0,170578773.0,https://kworb.net/spotify/country/mx_daily.html
114,+6,JÃ³sean Log - ChachachÃ¡,711.0,85.0,,232825.0,13160.0,1614694.0,2161.0,107251279.0,https://kworb.net/spotify/country/mx_daily.html
115,+18,CarÃ­n LeÃ³n - Desde Que Te Tengo,62.0,105.0,,232807.0,19815.0,1630866.0,8531.0,14130866.0,https://kworb.net/spotify/country/mx_daily.html
116,-1,Neton Vega - Mi Vida Mi Muerte,391.0,11.0,,232702.0,10747.0,1671486.0,20848.0,149097573.0,https://kworb.net/spotify/country/mx_daily.html
117,-20,Pesado - A chillar a otra parte,109.0,65.0,,232616.0,-6351.0,1766092.0,20868.0,24909360.0,https://kworb.net/spotify/country/mx_daily.html
118,-9,Tito Double P - DOS DÃAS (w/ Peso Pluma),705.0,2.0,(x13),232428.0,5425.0,1686790.0,-14380.0,517130309.0,https://kworb.net/spotify/country/mx_daily.html
119,-2,Tito Double P - TATTOO,516.0,1.0,(x19),232167.0,10777.0,1645831.0,-11906.0,289171103.0,https://kworb.net/spotify/country/mx_daily.html
120,-16,Neton Vega - Morena (w/ Peso Pluma),530.0,1.0,(x35),228417.0,-4498.0,1771053.0,-26100.0,397480612.0,https://kworb.net/spotify/country/mx_daily.html
121,-19,Neton Vega - /Perro Fiel (w/ benny blanco),161.0,59.0,,228241.0,-6483.0,1755127.0,-2008.0,47435761.0,https://kworb.net/spotify/country/mx_daily.html
122,+16,Xavi - En Privado (w/ Manuel Turizo),534.0,14.0,,228204.0,16598.0,1695331.0,-43159.0,241764498.0,https://kworb.net/spotify/country/mx_daily.html
123,+23,Tainy - MOJABI GHOST (w/ Bad Bunny),836.0,14.0,,228177.0,21964.0,1577032.0,-15727.0,257786405.0,https://kworb.net/spotify/country/mx_daily.html
124,-5,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),125.0,76.0,,227722.0,8057.0,1616543.0,2691.0,31879578.0,https://kworb.net/spotify/country/mx_daily.html
125,+28,Harry Styles - Sign of the Times,406.0,11.0,,224897.0,21484.0,1054344.0,1565.0,37478537.0,https://kworb.net/spotify/country/mx_daily.html
126,+13,LOS DOS DE TAMAULIPAS - Gastando Verdes,18.0,117.0,,224525.0,13451.0,1097460.0,21601.0,3691433.0,https://kworb.net/spotify/country/mx_daily.html
127,-3,Bad Bunny - NUEVAYoL,562.0,4.0,,224460.0,7737.0,1637373.0,-11453.0,209520201.0,https://kworb.net/spotify/country/mx_daily.html
128,+9,Tito Double P - NADIE,614.0,2.0,(x19),224248.0,12178.0,1601256.0,1677.0,374112246.0,https://kworb.net/spotify/country/mx_daily.html
129,+18,Alejandro FernÃ¡ndez - Me DediquÃ© a Perderte,3320.0,59.0,,221862.0,15885.0,1517996.0,5947.0,362750226.0,https://kworb.net/spotify/country/mx_daily.html
130,-18,Luis Miguel - Ahora Te Puedes Marchar,3317.0,13.0,,221659.0,-3121.0,1581714.0,6945.0,496070190.0,https://kworb.net/spotify/country/mx_daily.html
131,-2,Duncan Dhu - En algÃºn lugar,345.0,71.0,,220795.0,5938.0,1542232.0,-20789.0,57633637.0,https://kworb.net/spotify/country/mx_daily.html
132,+11,Rels B - TU VAS SIN (fav),387.0,9.0,,220439.0,13265.0,1539555.0,-9484.0,155511093.0,https://kworb.net/spotify/country/mx_daily.html
133,-15,Edicion Especial - Si Es Posible,28.0,104.0,,220126.0,429.0,1549696.0,5261.0,6027862.0,https://kworb.net/spotify/country/mx_daily.html
134,=,Neton Vega - Loco,583.0,1.0,(x14),219699.0,7109.0,1553363.0,2857.0,357818465.0,https://kworb.net/spotify/country/mx_daily.html
135,+14,Chino Pacas - Madrugada (w/ FLVCKKA),54.0,18.0,,219663.0,13993.0,1593812.0,-32930.0,17904511.0,https://kworb.net/spotify/country/mx_daily.html
136,+20,Christian Nodal - Ya No Somos Ni Seremos,951.0,1.0,(x20),219361.0,19012.0,1568325.0,3939.0,312374326.0,https://kworb.net/spotify/country/mx_daily.html
137,-21,Victor Valverde - El Mayor De Los Ranas (w/ JR Torres),608.0,6.0,,219041.0,-2804.0,1676065.0,219041.0,266502396.0,https://kworb.net/spotify/country/mx_daily.html
138,+2,Manuel Turizo - La Bachata,993.0,1.0,(x25),218677.0,8771.0,1539652.0,5353.0,459898532.0,https://kworb.net/spotify/country/mx_daily.html
139,-32,La Arrolladora Banda El LimÃ³n De Rene Camacho - Mi Segunda Vida,1161.0,27.0,,217764.0,-10115.0,1711743.0,-54098.0,205709944.0,https://kworb.net/spotify/country/mx_daily.html
140,+12,Maluma - HawÃ¡i,1067.0,1.0,(x74),217062.0,13525.0,1565713.0,2963.0,348047629.0,https://kworb.net/spotify/country/mx_daily.html
141,-5,Victor Mendivil - Me Paseo (w/ Oscar Maydon),368.0,24.0,,216977.0,4532.0,1549170.0,1154.0,126760948.0,https://kworb.net/spotify/country/mx_daily.html
142,+6,AlemÃ¡n - Te QuerÃ­a Ver (w/ Neton Vega),544.0,1.0,(x23),216778.0,11073.0,1531725.0,-12960.0,372634578.0,https://kworb.net/spotify/country/mx_daily.html
143,-17,La UniÃ³n - Lobo-hombre en ParÃ­s,87.0,123.0,,216585.0,617.0,1563808.0,-7165.0,7020619.0,https://kworb.net/spotify/country/mx_daily.html
144,-14,"Luis R Conriquez - Chula Vente (w/ Fuerza Regida, Neton Vega)",369.0,2.0,(x12),216171.0,1654.0,1567807.0,-1528.0,216867685.0,https://kworb.net/spotify/country/mx_daily.html
145,-14,Cornelio Vega y su Dinastia - Voy Llegando a tu Ciudad,74.0,49.0,,216128.0,1743.0,1573415.0,-29197.0,19799280.0,https://kworb.net/spotify/country/mx_daily.html
146,-18,Fuerza Regida - ME JALO (w/ Grupo Frontera),586.0,5.0,,215801.0,86.0,1587484.0,-10265.0,317520647.0,https://kworb.net/spotify/country/mx_daily.html
147,-6,Bad Bunny - Ojitos Lindos (w/ Bomba EstÃ©reo),1215.0,1.0,(x17),214991.0,6187.0,1496765.0,2095.0,530810683.0,https://kworb.net/spotify/country/mx_daily.html
148,+2,Tito Double P - 5-7 (w/ Junior H),705.0,9.0,,214412.0,8815.0,1533658.0,-10483.0,363084527.0,https://kworb.net/spotify/country/mx_daily.html
149,-4,Banda Clave Nueva - CuÃ¡l AdiÃ³s,171.0,77.0,,212760.0,6212.0,1600056.0,3735.0,41432386.0,https://kworb.net/spotify/country/mx_daily.html
150,+16,Juan Gabriel - AbrÃ¡zame Muy Fuerte,158.0,1.0,(x1),211934.0,16167.0,1447343.0,-38433.0,24722599.0,https://kworb.net/spotify/country/mx_daily.html
151,+8,Grupo Arriesgado - Ansiedad,415.0,50.0,,210759.0,11624.0,1523223.0,210759.0,109038161.0,https://kworb.net/spotify/country/mx_daily.html
152,+11,Neton Vega - /90 60 90 (w/ Myke Towers),5.0,152.0,,210324.0,13927.0,1019051.0,210324.0,1019051.0,https://kworb.net/spotify/country/mx_daily.html
153,+8,Mon Laferte - Tu Falta De Querer,1992.0,47.0,,210238.0,12466.0,1444681.0,10772.0,246144534.0,https://kworb.net/spotify/country/mx_daily.html
154,-12,Tito Double P - COCO,61.0,32.0,,210146.0,2897.0,1550505.0,-11937.0,16810114.0,https://kworb.net/spotify/country/mx_daily.html
155,+5,Ian Cordova - Te Amo y Me Amas,283.0,19.0,,209385.0,10687.0,1520342.0,-7397.0,104964047.0,https://kworb.net/spotify/country/mx_daily.html
156,+9,Luis R Conriquez - Medusa (w/ Tito Double P),9.0,111.0,,209072.0,13059.0,616196.0,494.0,1910945.0,https://kworb.net/spotify/country/mx_daily.html
